Sample,Amplitude(V)
0.000000000000000000e+00,3.225806451612900361e-02
1.000000000000000000e+00,3.570021634537761529e-02
2.000000000000000000e+00,3.914236817462622697e-02
3.000000000000000000e+00,4.258452000387484560e-02
4.000000000000000000e+00,4.645936258839485078e-02
5.000000000000000000e+00,5.162259033226773708e-02
6.000000000000000000e+00,5.678581807614062338e-02
7.000000000000000000e+00,6.194904582001350968e-02
8.000000000000000000e+00,6.566997104631507043e-02
9.000000000000000000e+00,6.796473893248081155e-02
1.000000000000000000e+01,7.025950681864655267e-02
1.100000000000000000e+01,7.255427470481229379e-02
1.200000000000000000e+01,7.484904259097804879e-02
1.300000000000000000e+01,7.714381047714377604e-02
1.400000000000000000e+01,8.044819012560944227e-02
1.500000000000000000e+01,8.389034195485804701e-02
1.600000000000000000e+01,8.733249378410665176e-02
1.700000000000000000e+01,9.077464561335524262e-02
1.800000000000000000e+01,9.421679744260383349e-02
1.900000000000000000e+01,9.765894927185243823e-02
2.000000000000000000e+01,1.011011011011010430e-01
2.100000000000000000e+01,1.045432529303496338e-01
2.200000000000000000e+01,1.079854047595982386e-01
2.300000000000000000e+01,1.114275565888468433e-01
2.400000000000000000e+01,1.148697084180954758e-01
2.500000000000000000e+01,1.183118602473440806e-01
2.600000000000000000e+01,1.217540120765926992e-01
2.700000000000000000e+01,1.251961639058413178e-01
2.800000000000000000e+01,1.286383157350899087e-01
2.900000000000000000e+01,1.320804675643385273e-01
3.000000000000000000e+01,1.355129322871258257e-01
3.100000000000000000e+01,1.380945461590622758e-01
3.200000000000000000e+01,1.406761600309987259e-01
3.300000000000000000e+01,1.432577739029351760e-01
3.400000000000000000e+01,1.458393877748716261e-01
3.500000000000000000e+01,1.484210016468080762e-01
3.600000000000000000e+01,1.510026155187444985e-01
3.700000000000000000e+01,1.535842293906809486e-01
3.800000000000000000e+01,1.563554337747885548e-01
3.900000000000000000e+01,1.593058496284302239e-01
4.000000000000000000e+01,1.622562654820718930e-01
4.100000000000000000e+01,1.652066813357135622e-01
4.200000000000000000e+01,1.681570971893552036e-01
4.300000000000000000e+01,1.711075130429969282e-01
4.400000000000000000e+01,1.740579288966385418e-01
4.500000000000000000e+01,1.770083447502802665e-01
4.600000000000000000e+01,1.799587606039218801e-01
